epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,36628.7,1.53244,0.7926,0.88414,0.88424,0.88889,0.88759,0.47982,1.57977,0.87294,0.93593,0.0003566,0.0003566,0.0003566
85,37120.5,1.54001,0.8559,0.93187,0.88276,0.88889,0.88938,0.50205,1.49075,0.86788,0.92629,0.0003368,0.0003368,0.0003368
86,37532,1.50873,0.79564,0.93197,0.88407,0.88889,0.88217,0.49545,1.51353,0.85008,0.93654,0.000317,0.000317,0.000317
87,37948.8,1.46786,0.80786,0.92846,0.88442,0.88889,0.88684,0.5129,1.47877,0.8592,0.9344,0.0002972,0.0002972,0.0002972
88,38398.2,1.51804,0.86789,0.95909,0.8852,0.88889,0.90751,0.56514,1.44614,0.85136,0.9382,0.0002774,0.0002774,0.0002774
89,38916.1,1.502,0.81116,0.90511,0.88471,0.88889,0.87951,0.49754,1.51522,0.85638,0.93469,0.0002576,0.0002576,0.0002576
90,39394.8,1.518,0.83436,0.93933,0.88349,0.88889,0.89586,0.5263,1.4167,0.82067,0.93311,0.0002378,0.0002378,0.0002378
91,39949.1,1.42506,0.86521,0.90431,0.88446,0.88889,0.90763,0.49711,1.44327,0.79895,0.93621,0.000218,0.000218,0.000218
92,40492.9,1.4781,0.83541,0.94358,0.88268,0.88889,0.91097,0.48158,1.58408,0.80941,0.93636,0.0001982,0.0001982,0.0001982
93,41025.7,1.47829,0.82576,0.91674,0.88516,0.88889,0.92794,0.50968,1.58451,0.78309,0.93497,0.0001784,0.0001784,0.0001784
94,41503.9,1.39459,0.79008,0.91003,0.88574,0.88889,0.92025,0.50813,1.64852,0.87312,0.94435,0.0001586,0.0001586,0.0001586
95,41919.3,1.45208,0.7781,0.91019,0.88435,0.88889,0.92992,0.50312,1.62758,0.86026,0.94359,0.0001388,0.0001388,0.0001388
96,42323.1,1.45553,0.81301,0.92944,0.88314,0.88889,0.93124,0.51039,1.6902,0.86282,0.94958,0.000119,0.000119,0.000119
97,42773.4,1.41534,0.82198,0.92195,0.88368,0.88889,0.93454,0.52201,1.64855,0.86078,0.94442,9.92e-05,9.92e-05,9.92e-05
98,43171.6,1.50708,0.81065,0.95729,0.88489,0.88889,0.93471,0.52137,1.59706,0.83956,0.93888,7.94e-05,7.94e-05,7.94e-05
99,43584.1,1.39437,0.79634,0.91875,0.88517,0.88889,0.91626,0.52083,1.57055,0.84244,0.93502,5.96e-05,5.96e-05,5.96e-05
100,44068.6,1.30311,0.72026,0.87819,0.88467,0.88889,0.90862,0.49857,1.60508,0.8545,0.93927,3.98e-05,3.98e-05,3.98e-05
